streetName,streetType,minHouseNum,maxHouseNum
A. Tomíčka,,1,100
A. Trägera,,1,100
A. V. Nováka,,1,100
A. V. Šembery,,1,100
A. Vitvara,,1,100
A. Václavíka,,1,100
A. Zápotockého,,1,100
A. Špetíka,,1,100
Abigail Horákové,,1,100
Abramovova,,1,100
Absolonova,,1,100
Achtelky,,1,100
Achátová,,1,100
Ad. Mickiewicze,,1,100
Adamcova,,1,100
Adamova,,1,100
Adamovská,,1,100
Adamská,,1,100
Adamusova,,1,100
Adelova,,1,100
Adiny Mandlové,,1,100
Adlerova,,1,100
Adolfa Doležala,,1,100
Adolfa Heyduka,,1,100
Adolfa Kašpara,,1,100
Adolfa Kožíška,,1,100
Adámkova,,1,100
Adélčina,,1,100
Aeškerova,,1,100
Africká,,1,100
Agrikolovo,,1,100
Agrikolovo náměstí,,1,100
Ahepjukova,,1,100
Ak. Běhounka,,1,100
Akad. Práta,,1,100
Akademická,,1,100
Akademika Bedrny,,1,100
Akademika Bydžovského,,1,100
Akademika Hennera,,1,100
Akademika Heyrovského,,1,100
Aksamitova,,1,100
Akátová,,1,100
Al. Gallata,,1,100
Al. Jiráska,,1,100
Al. Muchy,,1,100
Alberta E. Trommera,,1,100
Alberta Kučery,,1,100
Alberto Vojtěcha Friče,,1,100
Albertov,,1,100
Albertova,,1,100
Albertovec,,1,100
Albertovo náměstí,,1,100
Albieriho,,1,100
Albrechtická,,1,100
Albrechtova,,1,100
Albánská,,1,100
Albíkova,,1,100
Albína Krejčího,,1,100
Albíny Hochové,,1,100
Aldašínská,,1,100
Aldova,,1,100
Alej 17. listopadu,,1,100
Alej Boženy Němcové,,1,100
Alej Jiřího Wolkera,,1,100
Alej Kateřiny Zaháňské,,1,100
Alej míru,,1,100
Alej sportovců,,1,100
Alej svobody,,1,100
Aleje,,1,100
Alejka,,1,100
Alejnikovova,,1,100
Alejní,,1,100
Alejská,,1,100
Aleny Santarové,,1,100
Alexandra Berndorfa,,1,100
Alexandrovská,,1,100
Aleše Havla,,1,100
Aleše Hrdličky,,1,100
Alešova,,1,100
Alešovo nábřeží,,1,100
Alf. Šťastného,,1,100
Alfonse Muchy,,1,100
Alfreda Nobela,,1,100
Alinova,,1,100
Alisova,,1,100
Almužnická,,1,100
Aloise Dostála,,1,100
Aloise Fišárka,,1,100
Aloise Gavlase,,1,100
Aloise Jiráska,,1,100
Aloise Kalvody,,1,100
Aloise Kolíska,,1,100
Aloise Krále,,1,100
Aloise Mareše,,1,100
Aloise Nováka,,1,100
Aloise Parmy,,1,100
Aloise Rašína,,1,100
Aloise Vlasáka,,1,100
Aloisina výšina,,1,100
Aloisovská,,1,100
Alpská,,1,100
Alpská víska,,1,100
Altajská,,1,100
Altéře,,1,100
Altýře,,1,100
Aléská,,1,100
Alšova,,1,100
Alšovo nábřeží,,1,100
Alšovo náměstí,,1,100
Alžběty Noskové,,1,100
Alžírská,,1,100
Am. Kutinové,,1,100
Ambrožova,,1,100
Amelinova,,1,100
Americká,,1,100
Americké armády,,1,100
Amerika,,1,100
Amerlingova,,1,100
Ametystová,,1,100
Amforová,,1,100
Amortova,,1,100
Ampérova,,1,100
Amundsenova,,1,100
Amurská,,1,100
Amálie,,1,100
Amálie Škráškové,,1,100
Amálská,,1,100
Anastázova,,1,100
Anatola Provazníka,,1,100
Anderleho,,1,100
Andersenova,,1,100
Andrejšky,,1,100
Andrlíkova,,1,100
Andrýskova,,1,100
Andrštova,,1,100
Andělov,,1,100
Andělova,,1,100
Andělská,,1,100
Andělská cesta,,1,100
Andělčina,,1,100
Anenská,,1,100
Anenské náměstí,,1,100
Anežky Malé,,1,100
Anežky České,,1,100
Anežská,,1,100
Angela Kančeva,,1,100
Angelovova,,1,100
Angerlova,,1,100
Anglická,,1,100
Anglické nábřeží,,1,100
Angreštový sad,,1,100
Anhaltova,,1,100
Aninská,,1,100
Ankertova,,1,100
Annenská,,1,100
Anny Bayerové,,1,100
Anny Drabíkové,,1,100
Anny Letenské,,1,100
Anny Mlejnkové,,1,100
Anny Rybníčkové,,1,100
Anny Čížkové,,1,100
Ant. Barcala,,1,100
Ant. Bureše,,1,100
Ant. Dvořáka,,1,100
Ant. Dřevy,,1,100
Ant. Fouska,,1,100
Ant. Janouška,,1,100
Ant. Kymličky,,1,100
Ant. Nevole,,1,100
Ant. Rendla,,1,100
Ant. Slavíčka,,1,100
Ant. Smutného,,1,100
Ant. Sovy,,1,100
Ant. Suchého,,1,100
Ant. Škváry,,1,100
Ant. Štourače,,1,100
Antala Staška,,1,100
Antonie Bejdové,,1,100
Antonina Sovy,,1,100
Antonína Barcala,,1,100
Antonína Bečváře,,1,100
Antonína Chvojky,,1,100
Antonína Dvořáka,,1,100
Antonína Hampla,,1,100
Antonína Kaliny,,1,100
Antonína Klobouka,,1,100
Antonína Kopeckého,,1,100
Antonína Kubity,,1,100
Antonína Macka,,1,100
Antonína Majera,,1,100
Antonína Milfaita,,1,100
Antonína Morese,,1,100
Antonína Navrátila,,1,100
Antonína Nikla,,1,100
Antonína Oktábce,,1,100
Antonína Pacovského,,1,100
Antonína Pavlíka,,1,100
Antonína Petrofa,,1,100
Antonína Pinty,,1,100
Antonína Poledníka,,1,100
Antonína Raymonda,,1,100
Antonína Schindlera,,1,100
Antonína Slavíka,,1,100
Antonína Slavíčka,,1,100
Antonína Sochora,,1,100
Antonína Sovy,,1,100
Antonína Trapla,,1,100
Antonína Uxy,,1,100
Antonína Václavíka,,1,100
Antonína Wagnera,,1,100
Antonína Zápotockého,,1,100
Antonína Šimka,,1,100
Antonínka,,1,100
Antonínov,,1,100
Antonínova,,1,100
Antonínská,,1,100
Antoníček,,1,100
Antošovická,,1,100
Antuková,,1,100
Antuškova,,1,100
Anýžova,,1,100
Apolinářská,,1,100
Arabská,,1,100
Aranžérská,,1,100
Arbesova,,1,100
Arbesovo nám.,,1,100
Arbesovo náměstí,,1,100
Arch. Dubského,,1,100
Arch. Janáka,,1,100
Arch. Neumana,,1,100
Arch. Pavlů,,1,100
Arch. Teplého,,1,100
Arch. Weisse,,1,100
Archangelská,,1,100
Archeologická,,1,100
Archivní,,1,100
Archiváře Teplého,,1,100
Aretinova,,1,100
Areál Šroubáren,,1,100
Argonská,,1,100
Aristotelova,,1,100
Arkalycká,,1,100
Arm. gen. L. Svobody,,1,100
Armabeton,,1,100
Armádní,,1,100
Armády,,1,100
Arménská,,1,100
Arne Nováka,,1,100
Arnolda Picka,,1,100
Arnoldova,,1,100
Arnoltova,,1,100
Arnošta Heidricha,,1,100
Arnošta Hrabala,,1,100
Arnošta Rychlého,,1,100
Arnošta Valenty,,1,100
Arnošta z Pardubic,,1,100
Arnoštova,,1,100
Arnoštská,,1,100
Arraská,,1,100
Arthura Breiského,,1,100
Artura Krause,,1,100
Asejevova,,1,100
Astronautů,,1,100
Athénská,,1,100
Atlasová,,1,100
Atletická,,1,100
Atriová,,1,100
Aubrechtové,,1,100
Auerswaldova,,1,100
Aug. Kratochvíla,,1,100
Aug. Sedláčka,,1,100
Augarty,,1,100
Augustina Handzela,,1,100
Augustina Lukeše,,1,100
Augustina Rebce,,1,100
Augustina Skřivana,,1,100
Augustinova,,1,100
Augustova,,1,100
Aurora,,1,100
Austova,,1,100
Autobus. nádraží,,1,100
Autobusové nádraží,,1,100
Averinova,,1,100
Aviatiků,,1,100
Axmanova,,1,100
Azalková,,1,100
Azurová,,1,100
Ašská,,1,100
B. Benešové,,1,100
B. Březovského,,1,100
B. Egermanna,,1,100
B. Havlasy,,1,100
B. J. Horáčka,,1,100
B. Jablonského,,1,100
B. Jelínka,,1,100
B. Kašlíka,,1,100
B. Kobzinové,,1,100
B. Korábové,,1,100
B. M. Eliášové,,1,100
B. M. Kuldy,,1,100
B. Martinů,,1,100
B. Němcové,,1,100
B. Němcové II,,1,100
B. Smetany,,1,100
B. Vlčka,,1,100
B. Vohánkové,,1,100
B. Václavka,,1,100
B. Čeňka,,1,100
B. Šmerala,,1,100
B. Šmída,,1,100
Baarova,,1,100
Baarovo nábřeží,,1,100
Baarovo náměstí,,1,100
Babice,,1,100
Babická,,1,100
Babinská,,1,100
Babičkova,,1,100
Babiččina,,1,100
Babiňák,,1,100
Bablerovo náměstí,,1,100
Babory,,1,100
Babočková,,1,100
Babská,,1,100
Babákova,,1,100
Babí důl,,1,100
Babí louka,,1,100
Babín,,1,100
Babíčkova,,1,100
Bacherova,,1,100
Bachmačská,,1,100
Bachmačské náměstí,,1,100
Bachova,,1,100
Bacháčkova,,1,100
Badalky,,1,100
Badatelů,,1,100
Badeniho,,1,100
Bahenní,,1,100
Bahna,,1,100
Bahno-Hlíny,,1,100
Bahno-Příkopy,,1,100
Bahno-Rovňa,,1,100
Bahno-Štandl,,1,100
Bahníkova,,1,100
Bajgarova,,1,100
Bajkalská,,1,100
Bajkonurská,,1,100
Bajovec,,1,100
Bajzova,,1,100
Bajákova,,1,100
Bakalovo nábřeží,,1,100
Bakaláře,,1,100
Bakalářská,,1,100
Bakovská,,1,100
Bakošovec,,1,100
Bakunínova,,1,100
Bakurinova,,1,100
Bala,,1,100
Balabánova,,1,100
Balbínova,,1,100
Balbínovo nám.,,1,100
Balbínovo náměstí,,1,100
Balcarova,,1,100
Balcárkova,,1,100
Baldecká,,1,100
Baldovská,,1,100
Balinka,,1,100
Balkán,,1,100
Ballonova,,1,100
Baltská,,1,100
Balvínova,,1,100
Balzacova,,1,100
Bambuleho,,1,100
Bankovní,,1,100
Banskobystrická,,1,100
Banášova,,1,100
Barachov,,1,100
Barandov,,1,100
Barandovská,,1,100
Baranova,,1,100
Baranovova,,1,100
Baračka,,1,100
Barborka,,1,100
Barborská,,1,100
Barbory Linkové,,1,100
Barbořina,,1,100
Barchovická,,1,100
Barchůvek,,1,100
Bardějovská,,1,100
Barevná,,1,100
Barešova,,1,100
Barikádní,,1,100
Barona Trencka,,1,100
Barrandova,,1,100
Barrandovská,,1,100
Bartolomějská,,1,100
Bartoníčkova,,1,100
Bartovická,,1,100
Bartoňova,,1,100
Bartoškova,,1,100
Bartošková,,1,100
Bartošky,,1,100
Bartošova,,1,100
Bartultovická,,1,100
Bartuškova,,1,100
Bartákova,,1,100
Bartůňkova,,1,100
Barunčina,,1,100
Barutova,,1,100
Barvitiova,,1,100
Barvičova,,1,100
Barvy,,1,100
Barvínková,,1,100
Barvířka,,1,100
Barvířova,,1,100
Barvířská,,1,100
Barákova,,1,100
Baráky,,1,100
Baráčkova,,1,100
Baráčnická,,1,100
Basilejské náměstí,,1,100
Baslova,,1,100
Bassova,,1,100
Bastlova,,1,100
Batalická,,1,100
Batličkova,,1,100
Batorova,,1,100
Bauerova,,1,100
Bauštel,,1,100
Bavlnářská,,1,100
Bavorova,,1,100
Bavorovská,,1,100
Bavorovské Svobodné Hory,,1,100
Bavorská,,1,100
Baxova,,1,100
Bayerova,,1,100
Bazalková,,1,100
Bazovského,,1,100
Bačetínská,,1,100
Bačovská,,1,100
Bačovského,,1,100
Bačová,,1,100
Baňská,,1,100
Bařinka,,1,100
Bařinky,,1,100
Bařinská,,1,100
Bařiny,,1,100
Baškirská,,1,100
Bašného,,1,100
Bašta,,1,100
Baštecká,,1,100
Bašteckého,,1,100
Bašty,,1,100
Baštýřská,,1,100
Baťovka,,1,100
Bažanova,,1,100
Bažantnice,,1,100
Bažantnická,,1,100
Bažantní,,1,100
Bažantí,,1,100
Beaufortova,,1,100
Bechlínská,,1,100
Bechyňova,,1,100
Bechyňovo náměstí,,1,100
Bechyňská,,1,100
Beckovská,,1,100
Beckovského,,1,100
Bedlová,,1,100
Bednaříkova,,1,100
Bednářova,,1,100
Bednářská,,1,100
Bedrnova,,1,100
Bedárna I,,1,100
Bedárna II,,1,100
Bedř. Smetany,,1,100
Bedřicha Buchlovana,,1,100
Bedřicha Mouchy,,1,100
Bedřicha Nikodema,,1,100
Bedřicha Pacholíka,,1,100
Bedřicha Smetany,,1,100
Bedřicha Václavka,,1,100
Bedřicha Zelinky,,1,100
Bedřicha ze Strážnice,,1,100
Bedřichovická,,1,100
Bedřichovská,,1,100
Bedřišská,,1,100
Beemsterská,,1,100
Beethovenova,,1,100
Bejblíkova,,1,100
Bejvalova,,1,100
Bekova,,1,100
Belcrediho,,1,100
Beldova,,1,100
Belegradská,,1,100
Belgická,,1,100
Belikovova,,1,100
Bellevue,,1,100
Bellova,,1,100
Bellušova,,1,100
Belnická,,1,100
Belveder,,1,100
Belvederská,,1,100
Bendlova,,1,100
Bendlovky,,1,100
Bendova,,1,100
Benecko,,1,100
Benecká,,1,100
Benedettiho,,1,100
Benedikta Roezla,,1,100
Benediktská,,1,100
Benediktínská,,1,100
Benedova,,1,100
Beneše Lounského,,1,100
Beneše Třebízského,,1,100
Benešova,,1,100
Benešovo nábřeží,,1,100
Benešovo náměstí,,1,100
Benešovská,,1,100
Benická,,1,100
Benjamina Kličky,,1,100
Benkova,,1,100
Benoniho,,1,100
Benákova,,1,100
Benátecká,,1,100
Benátky,,1,100
Benátská,,1,100
Benáčanova,,1,100
Beníškové,,1,100
Benýškova,,1,100
Benďák,,1,100
Beranka,,1,100
Beranových,,1,100
Bergerova,,1,100
Bergerovo nám.,,1,100
Bergerovo náměstí,,1,100
Bergmannova,,1,100
Beringerova,,1,100
Berkova,,1,100
Berkovská,,1,100
Berlínská,,1,100
Bermanova,,1,100
Bernardova,,1,100
Bernerova,,1,100
Berniska,,1,100
Bernolákova,,1,100
Bernátkova,,1,100
Bernáčkova,,1,100
Bernáškova,,1,100
Berní,,1,100
Berounská,,1,100
Bertholdovo náměstí,,1,100
Berty Pirunčíkové,,1,100
Beránecká,,1,100
Beránkova,,1,100
Beránkovo nábř.,,1,100
Berčíkov,,1,100
Besední,,1,100
Beskydská,,1,100
Bessemerova,,1,100
Betenglova,,1,100
Betlém,,1,100
Betlémská,,1,100
Betlémské náměstí,,1,100
Betonová,,1,100
Betonářská,,1,100
Betty Smetanové,,1,100
Betáňská,,1,100
Bezdeci,,1,100
Bezdrevská,,1,100
Bezdružická,,1,100
Bezdíčkova,,1,100
Bezdědická,,1,100
Bezdědovická,,1,100
Bezděkov,,1,100
Bezděkova,,1,100
Bezděkovská,,1,100
Bezdězská,,1,100
Bezděčínská,,1,100
Bezejmenná,,1,100
Bezejmená,,1,100
Bezenská,,1,100
Bezinková,,1,100
Bezovka,,1,100
Bezová,,1,100
Bezpalcova,,1,100
Bezprašná,,1,100
Bezručova,,1,100
Bezručova čtvrť,,1,100
Bezručovo nábřeží,,1,100
Bezručovo nám.,,1,100
Bezručovo náměstí,,1,100
Bezručovy sady,,1,100
Bezručův vrch,,1,100
Bečovská,,1,100
Bečvářova,,1,100
Bečvářská,,1,100
Bešťákova,,1,100
Bicanova,,1,100
Bidlova,,1,100
Bidláky,,1,100
Bieblova,,1,100
Bienerova,,1,100
Bilejova,,1,100
Billundská,,1,100
Binarova,,1,100
Binkova,,1,100
Bisattova,,1,100
Biskupcova,,1,100
Biskupická,,1,100
Biskupská,,1,100
Biskupské nám.,,1,100
Biskupský dvůr,,1,100
Biskupství,,1,100
Bivojova,,1,100
Bj. Krawce,,1,100
Bjarnata Krawce,,1,100
Blahnova,,1,100
Blahníkova,,1,100
Blahoslavova,,1,100
Blahoutova,,1,100
Blanenská,,1,100
Blanická,,1,100
Blanky Waleské,,1,100
Blankytná,,1,100
Blanská,,1,100
Blatecká,,1,100
Blatenská,,1,100
Blatnická,,1,100
Blatná,,1,100
Blatného,,1,100
Blatouchová,,1,100
Blatovská,,1,100
Blatská,,1,100
Blatské sídliště,,1,100
Blattného,,1,100
Blaženy Fenclové,,1,100
Blažimská,,1,100
Blažkova,,1,100
Blažovská,,1,100
Blažíčkova,,1,100
Blažíčkovo náměstí,,1,100
Blechov,,1,100
Blechova,,1,100
Bledulková,,1,100
Blešnovská,,1,100
Blizákovce,,1,100
Bližník,,1,100
Bližčická,,1,100
Bližší Lhota,,1,100
Blodkova,,1,100
Blodkovo náměstí,,1,100
Blokova,,1,100
Bludenská,,1,100
Bludná,,1,100
Bludovická,,1,100
Bludovská,,1,100
Bláhova,,1,100
Blériotova,,1,100
Blíšťka,,1,100
Blümlova,,1,100
Blýskavky,,1,100
Blšanecká,,1,100
Boberská,,1,100
Bobkova,,1,100
Bobnická,,1,100
Bobravská,,1,100
Bobrky,,1,100
Bobrovnická,,1,100
Bochenkova,,1,100
Bochníčkova,,1,100
Bochovská,,1,100
Bochořákova,,1,100
Bocianova,,1,100
Bodláková,,1,100
Boettingerova,,1,100
Boettingrova,,1,100
Bogorodského,,1,100
Boh. Kafky,,1,100
Boh. Pokorného,,1,100
Bohdana Kopeckého,,1,100
Bohdana Týbla,,1,100
Bohdanečská,,1,100
Bohdál,,1,100
Bohdíkovská,,1,100
Bohnická,,1,100
Bohosudovská,,1,100
Bohrova,,1,100
Bohumila Bachury,,1,100
Bohumila Böhma,,1,100
Bohumila Hrabala,,1,100
Bohumila Hájka,,1,100
Bohumila Kouby,,1,100
Bohumila Slámy,,1,100
Bohumila Trnky,,1,100
Bohumilická,,1,100
Bohumilický mlýn,,1,100
Bohumínská,,1,100
Bohumíra Dvorského,,1,100
Bohumíra Četyny,,1,100
Bohumíra Šmerala,,1,100
Bohunická,,1,100
Bohunická cesta,,1,100
Bohunčina,,1,100
Bohuslava Martinů,,1,100
Bohuslava Niederleho,,1,100
Bohuslava Němce,,1,100
Bohuslava Vrbenského,,1,100
Bohuslava ze Švamberka,,1,100
Bohuslavická,,1,100
Bohuslavova,,1,100
Bohuslávská,,1,100
Bohutínská,,1,100
Bohuňova,,1,100
Bohušova,,1,100
Bohušovická,,1,100
Bohušovská,,1,100
Boháčkova,,1,100
Boháčova,,1,100
Bohúňova,,1,100
Bojanovická,,1,100
Bojasova,,1,100
Boješická,,1,100
Bojiště,,1,100
Bojkovická,,1,100
Bojovníků za svobodu,,1,100
Bojovská,,1,100
Bojská,,1,100
Bojínková,,1,100
Bojčenkova,,1,100
Bolatická,,1,100
Bolebořská,,1,100
Boleratická,,1,100
Boleslavova,,1,100
Boleslavova stezka,,1,100
Boleslavská,,1,100
Boletická,,1,100
Bolevecká,,1,100
Bolinská,,1,100
Bolkova,,1,100
Bolkovská,,1,100
Bolotova,,1,100
Boloňská,,1,100
Bolzanova,,1,100
Bolívarova,,1,100
Boněcko I,,1,100
Boněcko II,,1,100
Bor,,1,100
Borecká,,1,100
Boreckého,,1,100
Borek,,1,100
Borka,,1,100
Borkovcova,,1,100
Borkovského,,1,100
Borky,,1,100
Borodinova,,1,100
Borodinská,,1,100
Borodínova,,1,100
Borovanská,,1,100
Borovanského,,1,100
Borovicová,,1,100
Borovinská,,1,100
Borovičky,,1,100
Borovská,,1,100
Borovského,,1,100
Borová,,1,100
Boroví,,1,100
Borový vrch,,1,100
Borošova,,1,100
Borošín,,1,100
Borošínská,,1,100
Borská,,1,100
Borského,,1,100
Bory Kříže,,1,100
Boršická,,1,100
Boršov,,1,100
Boršovská,,1,100
Borůvková,,1,100
Bosenská,,1,100
Boskovická,,1,100
Boskovicova,,1,100
Bosna,,1,100
Bosonožská,,1,100
Bosonožské náměstí,,1,100
Bosákova,,1,100
Botanická,,1,100
Botevova,,1,100
Botičská,,1,100
Boubínská,,1,100
Boudky,,1,100
Boudníkova,,1,100
Boudova,,1,100
Bousova,,1,100
Boučkova,,1,100
Bouřilova,,1,100
Boušova,,1,100
Boušínská,,1,100
Boxanka,,1,100
Bozděchova,,1,100
Bočkova,,1,100
Bočkovo nám.,,1,100
Bočná,,1,100
Boční,,1,100
Boční Ⅰ,,1,100
Bořanovická,,1,100
Bořenovská,,1,100
Bořetická,,1,100
Bořetínská,,1,100
Bořeňská,,1,100
Bořivoje,,1,100
Bořivoje Čelovského,,1,100
Bořivojova,,1,100
Bořkova,,1,100
Boří,,1,100
Bošická,,1,100
Bošilecká,,1,100
Bošínská,,1,100
Bošířany,,1,100
Bož. Němcové,,1,100
Božecká,,1,100
Božejovická,,1,100
Boženina,,1,100
Boženy Antonínové,,1,100
Boženy Benešové,,1,100
Boženy Hofmeisterové,,1,100
Boženy Hrejsové,,1,100
Boženy Jandlové,,1,100
Boženy Koutníkové,,1,100
Boženy Němcové,,1,100
Boženy Stárkové,,1,100
Boženy Vikové-Kunětické,,1,100
Boženy Zajíčkové,,1,100
Božetická,,1,100
Božetěchova,,1,100
Božická,,1,100
Božkova,,1,100
Božkovská,,1,100
Božkovské náměstí,,1,100
Božovského,,1,100
Boží Hora,,1,100
Božích bojovníků,,1,100
Brabansko,,1,100
Brabcova,,1,100
Brabec,,1,100
Brachtlova,,1,100
Bradkova,,1,100
Bradla,,1,100
Bradlecká,,1,100
Bradského,,1,100
Brahmsova,,1,100
Bramborová,,1,100
Bramboříková,,1,100
Brandejsova,,1,100
Brandejsovo náměstí,,1,100
Brandlova,,1,100
Brandtova,,1,100
Brandýs,,1,100
Brandýská,,1,100
Branecká,,1,100
Braniborská,,1,100
Branická,,1,100
Branislavova,,1,100
Branišovská,,1,100
Branka,,1,100
Brankovice,,1,100
Brankovická,,1,100
Branky,,1,100
Branská,,1,100
Brant,,1,100
Brantlova,,1,100
Bratislavská,,1,100
Bratr. Veverkových,,1,100
Bratranců Veverkových,,1,100
Bratrouchovská,,1,100
Bratrsko,,1,100
Bratrská,,1,100
Bratrstva,,1,100
Bratrství,,1,100
Bratrušovská,,1,100
Bratčická,,1,100
Bratří Bartáků,,1,100
Bratří Blechů,,1,100
Bratří Bubáků,,1,100
Bratří Burianů,,1,100
Bratří Dohalských,,1,100
Bratří Hlaviců,,1,100
Bratří Honů,,1,100
Bratří Jaroňků,,1,100
Bratří Karpíšků,,1,100
Bratří Koletů,,1,100
Bratří Kotrbů,,1,100
Bratří Mannů,,1,100
Bratří Mrázků,,1,100
Bratří Mrštíků,,1,100
Bratří Mádlů,,1,100
Bratří Nejedlých,,1,100
Bratří Petišků,,1,100
Bratří Rybářů,,1,100
Bratří Sedláčků,,1,100
Bratří Sousedíků,,1,100
Bratří Tšídů,,1,100
Bratří Vašků,,1,100
Bratří Venclíků,,1,100
Bratří Veverků,,1,100
Bratří Čapků,,1,100
Bratří Šafářů,,1,100
Bratří Šilerů,,1,100
Bratří Škorpilů,,1,100
Bratří Šlapetů,,1,100
Bratří Šloufů,,1,100
Bratří Štefanů,,1,100
Bratříků,,1,100
Braunerova,,1,100
Braunerovo nám.,,1,100
Braunova,,1,100
Braškovská,,1,100
Bražec,,1,100
Bražná,,1,100
Brdatka,,1,100
Brdičkova,,1,100
Brdlíkova,,1,100
Brdo,,1,100
Brdská,,1,100
Brechtova,,1,100
Brehmova,,1,100
Breitcetlova,,1,100
Breitfeldova,,1,100
Brejl,,1,100
Brennerova,,1,100
Bretaňská,,1,100
Brichtova,,1,100
Bridelova,,1,100
Brigádnická,,1,100
Brigádníků,,1,100
Brixenská,,1,100
Brixiho,,1,100
Brjanská,,1,100
Brníkovská,,1,100
Brníčská,,1,100
Brněnky,,1,100
Brněnská,,1,100
Brněnská Pole,,1,100
Brněnské náměstí,,1,100
Brodačská,,1,100
Brodce,,1,100
Brodecká,,1,100
Brodek,,1,100
Brodky,,1,100
Brodská,,1,100
Brodského,,1,100
Brojova,,1,100
Bromova,,1,100
Broncova,,1,100
Bronislava Poloczka,,1,100
Bronzová,,1,100
Brorsenova,,1,100
Broskvová,,1,100
Broskvoňová,,1,100
Brothánkova,,1,100
Broulova,,1,100
Broulíkova,,1,100
Broumovice,,1,100
Broumovská,,1,100
Broučkova,,1,100
Brozanská,,1,100
Brozánská,,1,100
Brožova,,1,100
Brožíkova,,1,100
Brtecká,,1,100
Brtnická,,1,100
Brumovická,,1,100
Brumovská,,1,100
Brunclíkova,,1,100
Bruncvíkova,,1,100
Brunelova,,1,100
Brunnerova,,1,100
Bruntálská,,1,100
Brunšov,,1,100
Bruselská,,1,100
Brusinková,,1,100
Brusičská,,1,100
Bruslařská,,1,100
Brusná,,1,100
Brusova,,1,100
Brusy,,1,100
Brušperská,,1,100
Bryknarova,,1,100
Bryksova,,1,100
Brzická,,1,100
Brzákova,,1,100
Bráfova,,1,100
Brána,,1,100
Bránská,,1,100
Brázdimská,,1,100
Brčkov,,1,100
Brčálová,,1,100
Brňovská,,1,100
Brťov u Velkých Opatovic,,1,100
Brůdek,,1,100
Bubeneč,,1,100
Bubenečská,,1,100
Bubenická,,1,100
Bubenská,,1,100
Bubenské nábřeží,,1,100
Bubeníkova,,1,100
Bubeníčkova,,1,100
Bublavská,,1,100
Bublíkova,,1,100
Bubnova,,1,100
Bucharova,,1,100
Buchenwaldská,,1,100
Buchlovská,,1,100
Buchovcova,,1,100
Buchtova,,1,100
Buckova,,1,100
Budapešťská,,1,100
Budečská,,1,100
Budečská stezka,,1,100
Budilova,,1,100
Budilovo náměstí,,1,100
Budischowského,,1,100
Budivojova,,1,100
Budišovská,,1,100
Budov,,1,100
Budovatelská,,1,100
Budovatelů,,1,100
Budovcova,,1,100
Budyňská,,1,100
Budyšínská,,1,100
Budákov,,1,100
Budíkov,,1,100
Budín,,1,100
Budínova,,1,100
Budínská,,1,100
Budčická,,1,100
Budějovická,,1,100
Budějovická brána,,1,100
Bujanovská,,1,100
Bukolská,,1,100
Bukovanská,,1,100
Bukovanského,,1,100
Bukovec,,1,100
Bukovec-Istebna,,1,100
Bukovecká,,1,100
Bukovická,,1,100
Bukovina,,1,100
Bukovinská,,1,100
Bukovská,,1,100
Bukovského,,1,100
Buková,,1,100
Buksická,,1,100
Bukurešťská,,1,100
Bulharská,,1,100
Bullmannova,,1,100
Bulovka,,1,100
Bulovna,,1,100
Burešov,,1,100
Burešova,,1,100
Burešín,,1,100
Burgerova,,1,100
Burianova,,1,100
Burianovo náměstí,,1,100
